ID taxonômico,Classificação taxonômica,nome científico,scientificNameAuthorship,taxonomicStatus,estabelecer meios,Gênero,família,ordem,classe,filo,reino,nome do conjunto de dados,parentGuid,acceptedConceptName,acceptedConceptID,tipo,título
DH8S,species,Lueckelia breviloba (Summerh. ex E.W.Cooper) Jenny,(Summerh. ex E.W.Cooper) Jenny,accepted,,Lueckelia Jenny,Orchidaceae A.Juss.,Asparagales,Liliopsida,Tracheophyta,Plantae,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",79JK,,,TAXON,
HYZT,species,"Pomacea megastoma Sowerby, 1825","Sowerby, 1825",accepted,,Pomacea,"Ampullariidae Gray, 1824","Architaenioglossa Haller, 1890","Gastropoda Cuvier, 1795","Mollusca Linnaeus, 1758",Animalia,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",5YWD,,,TAXON,
6BSY,species,"Oxystigma cyanofrons Williamson, 1919","Williamson, 1919",accepted,,"Oxystigma Selys, 1862","Heteragrionidae Rácenis, 1959","Odonata Fabricius, 1793","Insecta Linnaeus, 1758","Arthropoda Gravenhorst, 1843",Animalia,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",78KD,,,TAXON,
HNCJ,species,"Feigeria herilia (Stoll, 1780)","(Stoll, 1780)",accepted,,"Feigeria Berio, [1991]","Erebidae Leach, [1815]","Lepidoptera Linnaeus, 1758","Insecta Linnaeus, 1758","Arthropoda Gravenhorst, 1843",Animalia,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",HQ65,,,TAXON,
LSR,species,Iochroma arborescens (L.) J.M.H. Shaw,(L.) J.M.H. Shaw,accepted,,Iochroma Benth.,Solanaceae A.Juss.,Solanales,Magnoliopsida,Tracheophyta,Plantae,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",3FB,,,TAXON,
DXBX,species,"Gymnothorax funebris Ranzani, 1839","Ranzani, 1839",accepted,,"Gymnothorax Bloch, 1795","Muraenidae Rafinesque, 1815","Anguilliformes Goodrich, 1909","Actinopterygii Klein, 1885","Chordata Haeckel, 1874",Animalia,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",HKWQ,,,TAXON,
5DX7,species,"Contrafacia imma (Prittwitz, 1865)","(Prittwitz, 1865)",accepted,,"Contrafacia Johnson, 1989","Lycaenidae Leach, 1815","Lepidoptera Linnaeus, 1758","Insecta Linnaeus, 1758","Arthropoda Gravenhorst, 1843",Animalia,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",9D7F,,,TAXON,
3P2X,species,Glechon elliptica C.Pereira & Hatschb.,C.Pereira & Hatschb.,accepted,,Glechon Spreng.,Lamiaceae Martinov,Lamiales,Magnoliopsida,Tracheophyta,Plantae,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",4LYS,,,TAXON,
358Y,species,"Traumatomutilla indica (Linnaeus, 1758)","(Linnaeus, 1758)",accepted,,"Traumatomutilla André, 1901","Mutillidae Latreille, 1802","Hymenoptera Linnaeus, 1758","Insecta Linnaeus, 1758","Arthropoda Gravenhorst, 1843",Animalia,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",836S,,,TAXON,
7VQN,species,Asplenium resiliens Kunze,Kunze,accepted,,Asplenium L.,Aspleniaceae Newman,Polypodiales,Polypodiopsida,Tracheophyta,Plantae,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",HZRR,,,TAXON,
5XJX,species,Eragrostis curvula (Schrad.) Nees,(Schrad.) Nees,accepted,,Eragrostis Wolf,Poaceae Barnhart,Poales,Liliopsida,Tracheophyta,Plantae,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",FTJP,,,TAXON,
C4KN,species,Myrcia retorta Cambess.,Cambess.,accepted,,Myrcia DC.,Myrtaceae Juss.,Myrtales,Magnoliopsida,Tracheophyta,Plantae,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",8V6D,,,TAXON,
4XLL,species,"Brachygenys chrysargyrea (Günther, 1859)","(Günther, 1859)",accepted,,"Brachygenys Poey, 1868","Haemulidae Gill, 1885",Eupercaria Incertae sedis,"Actinopterygii Klein, 1885","Chordata Haeckel, 1874",Animalia,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",B79G,,,TAXON,
B9VK,species,Jacquemontia cataractae Krapov.,Krapov.,accepted,,Jacquemontia Choisy,Convolvulaceae Juss.,Solanales,Magnoliopsida,Tracheophyta,Plantae,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",7LDR,,,TAXON,
GXXG,species,Philodendron missionum (Hauman) Hauman,(Hauman) Hauman,accepted,,Philodendron Schott,Araceae Juss.,Alismatales,Liliopsida,Tracheophyta,Plantae,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",4LWV,,,TAXON,
75JK,species,"Samea multiplicalis (Guenée, 1854)","(Guenée, 1854)",accepted,,"Samea Guenée, 1854","Crambidae Latreille, 1810","Lepidoptera Linnaeus, 1758","Insecta Linnaeus, 1758","Arthropoda Gravenhorst, 1843",Animalia,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",FKTG,,,TAXON,
5CR8,species,Ctenitis submarginalis (Langsd. & Fisch.) Ching,(Langsd. & Fisch.) Ching,accepted,,Ctenitis (C.Chr.) C.Chr.,Dryopteridaceae Herter,Polypodiales,Polypodiopsida,Tracheophyta,Plantae,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",57KZ,,,TAXON,
6KJT,species,"Oxyrhopus occipitalis Wagler, 1824","Wagler, 1824",accepted,,"Oxyrhopus Wagler, 1830","Dipsadidae Bonaparte, 1838","Squamata Oppel, 1811","Reptilia Laurenti, 1768","Chordata Haeckel, 1874",Animalia,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",9NRW,,,TAXON,
